Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/login,1,0,156.9213330221828,156.9213330221828,156.9213330221828,156.9213330221828,7538.0,0.050658096881600535,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,/login,1,0,356.80720797972754,356.80720797972754,356.80720797972754,356.80720797972754,20.0,0.050658096881600535,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/project,1,0,428.9681669906713,428.9681669906713,428.9681669906713,428.9681669906713,36039.0,0.050658096881600535,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/project/[id],1,0,1039.5496669807471,1039.5496669807471,1039.5496669807471,1039.5496669807471,115681.0,0.050658096881600535,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/project/[id]/compile,2,0,300.0,331.60218750708736,295.0984170020092,368.1059580121655,1293.0,0.10131619376320107,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/project/[id]/output/output.log?build=[id],2,0,25,26.50285401614383,24.960708018625155,28.045000013662502,17113.0,0.10131619376320107,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/project/[id]/output/output.pdf,2,0,22.16216700617224,23.034978992654942,22.16216700617224,23.907790979137644,40540.0,0.10131619376320107,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,/project/[id]/users,1,1,8.660416002385318,8.660416002385318,8.660416002385318,8.660416002385318,52.0,0.050658096881600535,0.050658096881600535,9,9,9,9,9,9,9,9,9,9,9
GET,/socket.io/1/t=[ts],1,0,8.565291005652398,8.565291005652398,8.565291005652398,8.565291005652398,83.0,0.050658096881600535,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/user/contacts,1,0,25.816499983193353,25.816499983193353,25.816499983193353,25.816499983193353,15.0,0.050658096881600535,0.0,26,26,26,26,26,26,26,26,26,26,26
,Aggregated,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769,0.658555259460807,0.050658096881600535,28,300,360,370,430,1000,1000,1000,1000,1000,1000
